Date,Vis_in,Vis_out,IR_in,IR_out
12-Jun,213.267368,31.77611111,310.4916667,396.0055556
13-Jun,235.5947153,35.17069444,318.85,407.2597222
14-Jun,176.1413125,26.6265625,345.50625,409.0395833
15-Jun,187.1322361,28.78852083,329.4777778,399.6076389
16-Jun,90.58886112,13.86100694,349.8659722,381.2208333
17-Jun,94.74921528,12.95661806,360.7902778,376.2993055
18-Jun,192.4650139,26.34194444,344.3652778,391.1819444
19-Jun,239.3558611,34.53316667,309.1840278,390.5736111
20-Jun,238.4773611,34.84901389,306.4791667,388.7944445
21-Jun,239.5350625,34.91297917,313.0805556,399.9868056
22-Jun,178.5470417,26.93465972,321.3881945,391.0756944
23-Jun,225.4568681,33.60890278,305.4840278,389.6868056
24-Jun,215.4871944,33.19876389,322.3541667,393.6805556
25-Jun,238.0076944,35.45314583,304.2361111,392.8770833
26-Jun,235.1088889,35.125375,316.1555556,406.8854167
27-Jun,219.2811181,33.25200694,327.6402778,414.1041667
28-Jun,203.5297431,30.5215,330.0576389,412.5618056
29-Jun,238.6855139,36.11875694,314.5631944,409.3097222
30-Jun,228.8903194,35.31126389,309.3263889,397.0284722
1-Jul,238.1779514,36.41384722,308.4159722,400.8444444
2-Jul,237.7609792,36.27611111,307.5944444,402.30625
3-Jul,174.0001667,26.38886111,326,396.9333333
4-Jul,197.8972083,30.26310417,326.7236111,406.5659722
5-Jul,146.8763819,22.93879861,344.8951389,408.2361111
6-Jul,204.4242222,30.6723125,345.6840278,416.8791667
7-Jul,137.7757083,21.26082639,340.5166667,399.6548611
8-Jul,126.0695486,18.26283333,341.48125,381.8625
9-Jul,231.4854514,31.71124306,350.3430556,409.8125
10-Jul,135.0410278,20.18452778,341.9576389,394.6555556
11-Jul,159.5119444,22.26729167,342.4645833,388.9805556
12-Jul,106.2068472,14.82252083,357.0520833,387.06875
13-Jul,176.1421736,23.53974306,356.5145833,399.3493056
14-Jul,210.2972917,28.54173056,355.57875,417.4991667
15-Jul,86.45639583,12.41396528,369.3590278,396.6569444
16-Jul,167.2341028,23.78330139,354.0179167,399.2126389
17-Jul,185.6969097,25.36502778,352.4340278,404.8083333
18-Jul,200.8655653,29.21465556,334.6676389,401.5494445
19-Jul,207.6274931,29.77465972,340.1756944,414.2291667
20-Jul,133.8285,19.3664375,347.8638889,402.7868056
21-Jul,186.4334597,27.41581389,342.4672222,408.7990278
22-Jul,205.6994236,29.29191667,357.1619444,422.7580556
23-Jul,175.6014653,24.92784028,366.3152778,410.5276389
24-Jul,182.6846319,25.47431944,352.5611111,409.1754167
25-Jul,150.4821292,21.51068472,352.5883333,403.6066667
26-Jul,181.4690486,26.54377083,340.3256944,405.6993056
27-Jul,152.3212639,22.54145833,330.0118056,391.6355556
28-Jul,142.7661361,20.39878472,330.01125,384.5951389
29-Jul,159.1028264,22.47776389,332.1833333,381.7236111
30-Jul,216.3264972,31.41885417,316.3320833,393.5709722
31-Jul,206.8226458,29.60207639,311.3236111,397.8319445
1-Aug,126.1496944,18.94763889,329.4102778,390.2780556
2-Aug,159.9453819,24.00652778,338.8868056,402.9576389
3-Aug,78.98922917,11.42800694,355.2965278,385.6673611
4-Aug,138.9515264,19.76228611,335.9856944,392.9776389
5-Aug,162.0018014,22.11285139,347.3973611,397.5568056
6-Aug,192.1244028,27.91222917,333.2898611,409.4222222
7-Aug,204.8526632,30.14894444,317.8582639,405.4427083
8-Aug,203.4280694,30.29018056,318.1611111,407.1645833
9-Aug,161.8203625,23.09801111,336.6282639,407.8525694
10-Aug,137.8024444,20.33963611,336.3525,396.3951389
11-Aug,177.3413958,25.55277778,329.0888889,402.7020833
12-Aug,174.1774236,25.59126389,330.36875,405.7083333
13-Aug,163.7706528,24.58318056,331.0458333,403.31875
14-Aug,171.5130278,26.32058333,340.4911111,411.1598611
15-Aug,143.94225,22.2979375,340.4354167,403.6534722
16-Aug,87.32781945,12.49998611,345.9340278,383.8770833
17-Aug,127.0535764,16.84593056,359.7222222,383.8284722
18-Aug,132.8919514,17.20153472,333.2020833,377.4861111
19-Aug,189.8516458,27.66671528,313.3604167,381.1333333
20-Aug,190.0674514,27.68680556,311.3034722,389.9451389
21-Aug,80.41937362,11.2886375,345.7461111,375.4529167
22-Aug,72.80788751,8.868895833,358.6723611,374.9077778
23-Aug,174.2905486,21.43813194,335.9625,380.8195833
